Unnamed: 0,PERSON_ID,RANKINGS
14,77TNZf2inPTHbWpuro2bCg_0000,"[43, 39, 32, 44, 39, 40, 38, 28, 39, 43, 40, 39, 24, 38, 39, 38, 45, 36, 34, 38, 40, 45, 44, 45, 38, 42, 39, 43, 43, 32, 43, 43, 39, 40, 25, 47, 30, 37, 42, 35, 45, 39, 47, 42, 39, 41, 43, 44, 45, 40]"
15,EUD-wcm7-TstxppqY74KVw_0000,"[20, 14, 11, 23, 8, 16, 12, 15, 13, 16, 14, 11, 15, 14, 13, 17, 15, 32, 15, 18, 20, 15, 16, 10, 11, 18, 13, 13, 15, 12, 14, 12, 13, 30, 15, 12, 15, 10, 11, 13, 11, 16, 18, 23, 14, 14, 16, 13, 26, 9]"
16,gu3llT5No8kpAsJC2J8EaQ_0000,"[14, 26, 16, 11, 11, 21, 24, 14, 10, 13, 23, 19, 11, 9, 21, 15, 19, 18, 22, 10, 19, 18, 15, 20, 32, 20, 21, 24, 13, 20, 19, 16, 19, 12, 13, 16, 13, 23, 21, 20, 19, 24, 15, 11, 18, 16, 25, 28, 12, 28]"
17,xUXyaZylJ42FJ3NF6DTtMQ_0000,"[4, 5, 5, 5, 4, 6, 6, 5, 4, 2, 4, 4, 5, 6, 3, 5, 4, 4, 5, 4, 4, 1, 4, 3, 4, 2, 1, 5, 3, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 3, 4, 4, 4, 4, 2, 3, 4, 5]"
18,ztO4zoEEhl2pX-vLgjuuuw_0000,"[2, 1, 1, 2, 1, 3, 1, 3, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 3, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 4, 1, 2, 1]"
19,djcxByhBw--d-az6ffQ1Rw_0000,"[34, 33, 25, 34, 17, 31, 18, 46, 30, 14, 46, 24, 20, 23, 32, 25, 13, 27, 19, 13, 17, 24, 32, 32, 25, 14, 23, 18, 19, 23, 12, 19, 17, 24, 37, 23, 32, 20, 31, 23, 16, 27, 31, 26, 23, 28, 10, 20, 25, 39]"
20,SJplSIwcbH2tQsbK5iSr6Q_0000,"[22, 38, 33, 48, 22, 25, 37, 33, 38, 24, 39, 34, 37, 40, 19, 33, 46, 40, 35, 39, 32, 37, 37, 46, 42, 22, 38, 20, 45, 35, 38, 34, 22, 38, 27, 35, 29, 17, 43, 15, 50, 42, 42, 40, 43, 31, 45, 47, 30, 43]"
21,5B4lZJXJXjlrY7fh2D9ZOA_0000,"[33, 32, 34, 32, 30, 29, 32, 45, 33, 30, 24, 28, 42, 26, 33, 46, 35, 25, 27, 27, 36, 30, 28, 34, 27, 35, 37, 33, 31, 36, 27, 25, 37, 26, 40, 39, 33, 34, 33, 45, 30, 31, 33, 31, 25, 27, 33, 24, 24, 29]"
22,9BxudHA3xmkaTfLszXK6Aw_0000,"[6, 4, 2, 6, 5, 1, 5, 1, 6, 1, 5, 7, 1, 4, 5, 6, 5, 6, 1, 5, 1, 5, 7, 7, 5, 5, 3, 4, 8, 2, 5, 7, 3, 5, 6, 6, 5, 6, 7, 6, 7, 7, 5, 5, 6, 5, 1, 4, 6, 6]"
23,BV1ihgX8IwhGDmTVT0UyaQ_0000,"[41, 28, 39, 38, 41, 37, 39, 39, 40, 36, 42, 41, 32, 34, 37, 30, 43, 38, 37, 43, 34, 34, 27, 40, 33, 32, 40, 41, 39, 30, 37, 36, 31, 36, 35, 38, 44, 36, 29, 32, 38, 35, 29, 39, 40, 37, 38, 41, 37, 37]"
24,Tgl-gZd5J3Smbk9-F5ImUA_0000,"[10, 25, 18, 12, 12, 14, 16, 11, 11, 11, 10, 14, 13, 10, 12, 10, 11, 17, 12, 11, 10, 9, 9, 11, 24, 10, 12, 11, 11, 10, 9, 9, 11, 9, 11, 14, 11, 15, 14, 12, 10, 11, 10, 12, 12, 7, 9, 11, 11, 21]"
25,xSTthmz2ydzyRaH7BY-p1g_0000,"[27, 22, 29, 17, 24, 22, 26, 19, 24, 27, 17, 16, 31, 29, 22, 16, 21, 19, 23, 22, 23, 21, 21, 15, 21, 23, 26, 31, 22, 19, 25, 40, 25, 14, 31, 19, 25, 22, 15, 28, 21, 20, 24, 17, 19, 19, 17, 30, 14, 25]"
26,SmU8AlBBCxsVUr-Rf66l6w_0000,"[44, 48, 44, 39, 46, 47, 44, 50, 43, 46, 43, 45, 47, 47, 40, 49, 42, 49, 41, 41, 49, 42, 50, 48, 47, 50, 49, 49, 42, 39, 47, 35, 50, 50, 47, 42, 50, 44, 48, 48, 47, 48, 48, 44, 45, 44, 49, 49, 46, 47]"
27,afEQuTrcvJPZ9Vzd7X2BBg_0000,"[38, 30, 28, 30, 31, 28, 31, 43, 32, 31, 29, 26, 22, 22, 29, 42, 33, 24, 29, 26, 37, 29, 34, 31, 28, 39, 28, 35, 30, 29, 31, 28, 32, 25, 39, 34, 35, 39, 34, 46, 31, 30, 34, 32, 27, 39, 30, 27, 23, 31]"
28,vgluPrPHNPl0T4vKGDKXsQ_0000,"[16, 15, 12, 21, 15, 15, 11, 17, 14, 15, 13, 10, 8, 12, 11, 12, 14, 31, 14, 17, 11, 14, 36, 9, 12, 7, 11, 12, 14, 13, 16, 11, 12, 29, 14, 10, 16, 11, 12, 14, 12, 15, 16, 22, 13, 23, 14, 14, 27, 11]"
29,zYPNw3AXLUiQlvlY3aMcAw_0000,"[18, 50, 49, 40, 47, 49, 40, 30, 50, 50, 41, 46, 46, 42, 50, 50, 50, 50, 43, 42, 44, 36, 40, 50, 49, 44, 50, 25, 50, 42, 50, 33, 48, 49, 50, 43, 47, 41, 50, 50, 48, 50, 50, 45, 46, 47, 50, 50, 50, 48]"
30,69RAA6O4Eoo3zwDvPhYkaA_0000,"[1, 3, 3, 4, 2, 5, 2, 2, 2, 4, 2, 2, 3, 2, 4, 1, 2, 2, 3, 1, 3, 2, 2, 1, 2, 6, 5, 1, 2, 4, 1, 1, 5, 2, 3, 1, 2, 2, 2, 2, 3, 2, 2, 1, 1, 2, 3, 2, 1, 2]"
31,Sp5cRkQPciQ0p4AMwxTgUA_0000,"[9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 7, 9, 9, 17, 9, 8, 9, 10, 9, 9, 9, 10, 12, 12, 9, 11, 10, 9, 7, 11, 10, 10, 9, 10, 7, 8, 10, 9, 9, 8, 8, 10, 9, 9, 8, 10, 12, 9, 8, 10]"
32,IfkX-gOaf-6vBl7IDBFXgQ_0000,"[37, 31, 27, 31, 25, 32, 30, 42, 34, 34, 25, 25, 39, 20, 34, 43, 36, 29, 30, 29, 30, 28, 30, 36, 29, 38, 35, 37, 29, 37, 30, 27, 36, 22, 43, 30, 37, 32, 36, 43, 34, 32, 35, 34, 28, 36, 32, 22, 22, 30]"
33,5hcg7WMRv4YzqKvh3io4og_0000,"[12, 12, 20, 14, 23, 13, 15, 13, 20, 19, 21, 21, 18, 16, 17, 14, 20, 12, 10, 15, 16, 12, 13, 19, 16, 13, 15, 17, 18, 16, 18, 26, 18, 19, 20, 18, 22, 21, 20, 22, 15, 12, 14, 15, 11, 12, 28, 15, 34, 18]"
34,AbWzk31hpExBJGwYzEbgVQ_0000,"[23, 19, 45, 28, 32, 18, 36, 25, 17, 38, 35, 12, 27, 37, 16, 22, 17, 37, 16, 34, 12, 17, 17, 25, 43, 19, 16, 14, 23, 47, 21, 14, 35, 33, 23, 28, 43, 19, 25, 18, 17, 38, 19, 28, 16, 17, 26, 16, 40, 14]"
35,cKA39lCIepkZBIyFJosBkA_0000,"[39, 43, 40, 37, 40, 35, 41, 40, 46, 40, 30, 48, 43, 45, 42, 41, 38, 45, 42, 44, 28, 41, 39, 38, 34, 47, 36, 40, 33, 49, 39, 47, 34, 42, 44, 37, 49, 48, 47, 42, 37, 33, 38, 37, 49, 25, 35, 35, 39, 49]"
36,EXDkWb3FkhBH6MT9HYckHw_0000,"[32, 37, 35, 26, 36, 26, 20, 31, 22, 23, 31, 35, 33, 19, 31, 29, 31, 22, 40, 20, 25, 25, 25, 24, 46, 25, 19, 26, 34, 24, 33, 21, 21, 35, 33, 24, 19, 24, 28, 31, 27, 19, 28, 19, 22, 30, 22, 38, 16, 16]"
37,FL9cMHbZBX5PQJ8RhlFntA_0000,"[17, 16, 17, 24, 18, 17, 13, 16, 15, 17, 15, 31, 16, 13, 15, 18, 16, 34, 18, 16, 13, 16, 18, 26, 14, 15, 17, 15, 24, 15, 15, 13, 15, 31, 17, 20, 14, 14, 13, 17, 18, 17, 17, 24, 17, 15, 15, 17, 29, 12]"
38,axJB5LDGkoRCc5k90EH0gg_0000,"[40, 34, 36, 33, 34, 30, 29, 47, 31, 33, 28, 27, 21, 25, 36, 26, 32, 28, 28, 28, 35, 32, 33, 33, 26, 27, 29, 36, 28, 28, 40, 41, 30, 28, 38, 31, 31, 27, 32, 24, 33, 28, 32, 36, 24, 26, 29, 26, 35, 33]"
39,yPhTPmagPhaQW8R1JW3w9g_0000,"[7, 7, 6, 8, 6, 7, 9, 6, 8, 8, 8, 8, 10, 8, 10, 9, 8, 8, 8, 7, 8, 7, 8, 8, 8, 9, 8, 6, 9, 6, 8, 6, 7, 7, 10, 11, 6, 8, 8, 9, 9, 8, 6, 7, 9, 8, 6, 7, 9, 7]"
40,-rWn0cx8HoB16moRJh2nWg_0000,"[36, 35, 37, 36, 33, 34, 33, 44, 35, 32, 27, 29, 41, 24, 38, 45, 34, 26, 36, 25, 38, 31, 29, 35, 31, 36, 33, 34, 46, 31, 28, 29, 38, 27, 41, 33, 34, 38, 35, 47, 29, 29, 37, 33, 26, 29, 34, 25, 20, 32]"
41,i58teP9T4ub1eaaJiHyZCA_0000,"[15, 10, 13, 10, 13, 27, 10, 12, 12, 10, 11, 13, 14, 11, 6, 11, 10, 9, 13, 12, 14, 11, 10, 13, 10, 12, 9, 10, 10, 8, 13, 18, 10, 21, 8, 9, 9, 12, 10, 11, 13, 9, 11, 13, 15, 13, 13, 12, 15, 20]"
42,dqBytwHAA-tmil8BI9gZrQ_0000,"[48, 47, 46, 41, 42, 43, 48, 38, 49, 45, 49, 43, 48, 49, 43, 48, 48, 42, 47, 50, 46, 46, 46, 43, 39, 37, 42, 44, 49, 41, 42, 45, 40, 45, 49, 49, 42, 42, 39, 38, 43, 47, 41, 47, 38, 46, 42, 43, 44, 42]"
43,VtSuPIwxO0EEb7lmheIMYw_0000,"[28, 23, 26, 18, 43, 24, 25, 20, 25, 26, 18, 17, 29, 28, 28, 23, 26, 20, 25, 21, 22, 22, 23, 16, 22, 26, 27, 30, 21, 26, 24, 37, 26, 15, 29, 17, 24, 33, 16, 27, 22, 21, 23, 18, 31, 24, 18, 32, 18, 26]"
44,JA9WtQo5rBmg7rP8hxaFwA_0000,"[25, 41, 41, 43, 48, 48, 47, 35, 42, 39, 48, 50, 36, 46, 26, 39, 41, 44, 44, 49, 43, 50, 48, 39, 50, 43, 47, 39, 41, 48, 49, 50, 47, 46, 28, 36, 38, 46, 46, 41, 41, 40, 44, 43, 48, 18, 47, 37, 41, 50]"
45,9aDIq0qb4gc-6fRDKIqbUg_0000,"[3, 2, 4, 1, 3, 4, 3, 4, 3, 5, 3, 3, 4, 5, 2, 4, 3, 3, 4, 3, 6, 4, 3, 4, 3, 3, 4, 8, 6, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 5, 5, 3, 3, 3, 3, 5, 5, 3, 3]"
46,c4E1w7lVypXHxA-VEy7MXQ_0000,"[46, 46, 47, 42, 44, 44, 49, 36, 47, 42, 38, 40, 34, 48, 46, 34, 29, 48, 46, 48, 39, 38, 41, 41, 45, 45, 41, 46, 40, 38, 44, 42, 43, 43, 26, 45, 40, 43, 41, 36, 40, 44, 43, 49, 41, 50, 41, 42, 42, 38]"
47,x05PSDM3oiZDlVtjAaEU8A_0000,"[13, 13, 42, 15, 35, 12, 14, 24, 21, 20, 22, 22, 19, 18, 20, 19, 23, 14, 21, 32, 18, 19, 14, 21, 15, 29, 25, 22, 17, 27, 22, 32, 20, 20, 19, 27, 23, 25, 19, 21, 36, 14, 13, 30, 36, 34, 24, 18, 33, 19]"
48,0U0DJCBUqH2bgNw7o3CWBw_0000,"[5, 6, 8, 3, 7, 2, 4, 8, 7, 6, 6, 5, 6, 3, 7, 3, 7, 5, 6, 6, 5, 6, 6, 5, 6, 4, 7, 3, 4, 7, 6, 5, 8, 6, 5, 5, 7, 5, 6, 5, 2, 4, 7, 6, 5, 6, 7, 6, 5, 4]"
49,MT5p6IQgrZQew2GHBHUDLw_0000,"[11, 11, 21, 13, 14, 11, 17, 10, 19, 12, 12, 15, 12, 15, 18, 13, 12, 11, 11, 14, 15, 13, 11, 18, 17, 16, 14, 16, 12, 17, 11, 17, 14, 11, 12, 15, 12, 13, 18, 10, 14, 13, 12, 10, 10, 11, 11, 10, 10, 13]"
