PERSON_ID,RANKINGS
E3c-l0b8kUM4qOYBh95teg_0000,"[23, 12, 12, 12, 12, 13, 16, 24, 19, 15, 15, 18, 20, 13, 19, 17, 14, 15, 15, 18, 16, 17, 13, 14, 16, 13, 14, 11, 15, 17, 12, 12, 18, 10, 11, 16, 13, 18, 15, 21, 12, 15, 21, 27, 14, 17, 17, 13, 17, 12]"
1mRLYf0C1s78T6-uYWWdmQ_0000,"[34, 42, 42, 36, 45, 42, 42, 34, 42, 34, 36, 31, 43, 38, 35, 41, 43, 33, 40, 38, 40, 34, 42, 37, 38, 44, 37, 39, 39, 34, 45, 35, 37, 37, 46, 37, 41, 35, 34, 40, 42, 38, 38, 34, 40, 39, 28, 36, 34, 38]"
8yt1BecOXtPqLoG54APMHA_0000,"[19, 22, 28, 25, 19, 22, 27, 13, 23, 29, 25, 35, 30, 15, 40, 19, 22, 21, 26, 28, 22, 38, 32, 27, 20, 20, 30, 18, 30, 26, 18, 27, 21, 24, 26, 32, 29, 21, 22, 24, 25, 31, 27, 25, 22, 26, 32, 22, 30, 32]"
zM42Tbi6C4Erb92gBzCKuQ_0000,"[48, 48, 48, 48, 47, 48, 49, 49, 47, 40, 48, 47, 48, 49, 48, 48, 47, 48, 49, 48, 47, 47, 47, 46, 47, 47, 48, 48, 49, 48, 48, 49, 49, 48, 47, 49, 47, 49, 48, 45, 48, 48, 48, 50, 49, 47, 49, 48, 49, 49]"
OgrHuXoawBExUKzEwR2jcg_0000,"[16, 15, 17, 14, 14, 16, 14, 14, 13, 21, 16, 14, 16, 18, 24, 14, 19, 11, 14, 19, 12, 27, 16, 13, 13, 14, 13, 21, 13, 10, 22, 14, 14, 23, 16, 14, 15, 14, 28, 12, 21, 13, 17, 15, 17, 18, 30, 17, 13, 18]"
9uGcuG6OkDpEU9AwPA89qw_0000,"[3, 3, 4, 5, 4, 4, 5, 4, 2, 5, 3, 2, 2, 2, 5, 5, 5, 4, 5, 2, 5, 5, 1, 3, 3, 2, 3, 1, 5, 3, 2, 2, 2, 5, 5, 1, 4, 3, 5, 5, 3, 3, 2, 2, 4, 2, 4, 2, 3, 3]"
AtgrXAMqacm70yGBml37Lw_0000,"[36, 43, 41, 38, 43, 40, 45, 29, 40, 33, 45, 34, 38, 39, 43, 39, 44, 34, 41, 40, 36, 35, 40, 43, 39, 42, 40, 38, 38, 33, 43, 37, 46, 38, 37, 31, 43, 38, 37, 47, 41, 37, 40, 36, 35, 41, 41, 39, 36, 39]"
eCFEhTyfWlI3x-7-AHCN6w_0000,"[17, 18, 20, 17, 16, 18, 18, 26, 24, 16, 21, 16, 18, 16, 17, 21, 15, 19, 22, 25, 19, 16, 19, 17, 23, 17, 16, 16, 21, 16, 19, 16, 19, 17, 14, 26, 26, 23, 16, 20, 14, 25, 13, 18, 18, 19, 19, 15, 18, 15]"
YmtrLJotVNZj7BZnZTnmhQ_0000,"[37, 30, 33, 26, 22, 29, 30, 41, 37, 25, 28, 41, 27, 29, 30, 29, 26, 28, 31, 30, 27, 28, 30, 38, 32, 29, 25, 29, 25, 28, 31, 21, 20, 27, 18, 34, 28, 27, 24, 23, 31, 33, 33, 29, 30, 30, 23, 28, 28, 16]"
Truyb9riNOVOuPhTyEVzZw_0000,"[2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 1, 3, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
gfI42jq5QODPkK5HhjVcRA_0000,"[24, 31, 24, 22, 23, 30, 29, 42, 22, 30, 33, 19, 28, 28, 26, 32, 24, 24, 30, 35, 17, 18, 21, 21, 33, 30, 24, 28, 24, 27, 30, 25, 29, 26, 25, 28, 25, 29, 25, 22, 30, 22, 22, 28, 25, 29, 18, 25, 24, 19]"
LBn1Jlxvhb3B6ocZJxN3Hg_0000,"[41, 34, 39, 33, 38, 37, 35, 35, 39, 45, 43, 44, 46, 33, 37, 34, 39, 40, 35, 34, 45, 31, 38, 36, 45, 34, 43, 42, 35, 40, 41, 31, 33, 39, 41, 43, 32, 39, 43, 36, 33, 44, 30, 43, 39, 37, 37, 40, 43, 45]"
9zoBtoKFnqdFkt308ilYcg_0000,"[9, 9, 6, 10, 6, 6, 8, 11, 6, 7, 5, 6, 7, 8, 6, 6, 8, 6, 8, 7, 9, 7, 9, 9, 8, 9, 8, 9, 7, 6, 6, 9, 6, 9, 7, 7, 7, 11, 11, 7, 8, 7, 6, 7, 9, 7, 7, 5, 7, 4]"
DgEto6FM3XyZUpIGO-Jv4Q_0000,"[6, 5, 3, 4, 3, 3, 4, 3, 5, 3, 7, 4, 5, 4, 3, 3, 3, 5, 4, 5, 4, 4, 4, 4, 4, 5, 2, 5, 3, 4, 3, 5, 4, 3, 3, 5, 3, 5, 3, 4, 5, 2, 4, 3, 2, 4, 2, 4, 9, 2]"
69jexuO4aFQ8kstAVNu5iw_0000,"[18, 23, 27, 24, 17, 21, 26, 15, 20, 18, 20, 36, 29, 14, 16, 20, 17, 17, 25, 27, 21, 23, 31, 24, 21, 19, 18, 17, 18, 25, 17, 26, 22, 28, 21, 19, 18, 22, 21, 18, 16, 19, 25, 23, 16, 20, 14, 27, 26, 23]"
EQiLOSwGMeZ5qKkDNfod7A_0000,"[15, 17, 16, 13, 13, 15, 13, 21, 16, 19, 18, 15, 21, 17, 14, 15, 13, 14, 16, 15, 15, 15, 20, 15, 18, 24, 15, 15, 11, 19, 16, 13, 16, 16, 17, 15, 14, 16, 13, 17, 23, 16, 16, 14, 19, 28, 31, 16, 14, 25]"
riPch0Vt2lFBxECPso4rjA_0000,"[21, 16, 13, 41, 34, 32, 31, 17, 14, 23, 19, 23, 22, 24, 28, 28, 31, 25, 28, 17, 33, 42, 22, 26, 25, 31, 22, 22, 20, 21, 34, 39, 28, 21, 24, 20, 37, 13, 29, 31, 29, 23, 18, 39, 15, 13, 13, 30, 15, 31]"
3iYDBvASAyj4JfzR40oq1Q_0000,"[47, 45, 44, 37, 30, 45, 46, 45, 45, 32, 46, 32, 39, 45, 42, 40, 45, 37, 42, 39, 38, 45, 41, 45, 41, 41, 39, 40, 42, 36, 44, 36, 45, 44, 36, 41, 44, 43, 36, 46, 43, 39, 41, 41, 45, 45, 39, 43, 39, 42]"
-G8p28BYonCRfSeZLgHNag_0000,"[20, 13, 23, 11, 15, 26, 10, 20, 15, 14, 14, 24, 14, 34, 15, 22, 20, 20, 11, 12, 26, 14, 11, 18, 15, 23, 26, 14, 17, 14, 13, 10, 12, 14, 13, 21, 21, 15, 14, 11, 22, 14, 19, 22, 13, 16, 20, 26, 19, 17]"
RWk2-A2AXSNULeJYzbdB3Q_0000,"[1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 3, 1, 1, 5, 1, 1, 1, 1, 3, 5, 1, 1, 1, 1, 5, 5, 5, 3, 5, 5, 3, 2, 7]"
gav0ZHdg23pN6ZgEivKB3A_0000,"[26, 26, 31, 23, 18, 19, 19, 16, 28, 17, 26, 17, 19, 27, 22, 30, 33, 18, 23, 26, 20, 20, 28, 22, 24, 18, 21, 19, 23, 29, 29, 17, 35, 18, 30, 23, 27, 25, 17, 19, 17, 20, 14, 20, 21, 25, 15, 19, 22, 24]"
pgYjiruRsscHTPGQ4jYnpA_0000,"[22, 20, 34, 32, 36, 31, 32, 25, 31, 22, 27, 20, 32, 30, 25, 31, 25, 29, 33, 31, 25, 30, 14, 30, 17, 22, 46, 31, 26, 37, 15, 29, 30, 20, 22, 29, 19, 19, 26, 34, 24, 29, 29, 17, 26, 31, 22, 34, 32, 14]"
uRv7RmwB505r7tJdS-PqCQ_0000,"[32, 37, 30, 40, 32, 43, 39, 33, 35, 38, 32, 40, 36, 40, 31, 46, 36, 46, 45, 43, 41, 40, 45, 29, 37, 38, 34, 35, 44, 45, 36, 40, 41, 33, 39, 36, 40, 34, 39, 44, 44, 35, 45, 37, 38, 34, 44, 31, 38, 47]"
2-jR8VyNnudGg3nFjT69Cg_0000,"[8, 21, 15, 31, 35, 20, 20, 18, 17, 11, 12, 21, 13, 12, 13, 11, 18, 13, 32, 13, 24, 29, 17, 20, 19, 21, 19, 30, 19, 20, 11, 30, 17, 19, 15, 10, 20, 20, 27, 35, 13, 30, 28, 16, 28, 32, 21, 32, 16, 13]"
1urYXtMGpWuK1lyVno04fg_0000,"[13, 11, 11, 16, 10, 11, 21, 12, 12, 13, 13, 12, 12, 19, 11, 16, 7, 8, 7, 11, 7, 10, 12, 12, 7, 7, 7, 13, 14, 13, 14, 20, 11, 15, 10, 12, 11, 12, 12, 14, 6, 18, 12, 11, 11, 11, 11, 12, 12, 9]"
NrRjB-mtqbOFecpw7PNcEQ_0000,"[46, 41, 46, 44, 44, 46, 44, 48, 43, 35, 42, 33, 40, 37, 44, 42, 42, 35, 43, 41, 39, 46, 43, 42, 40, 45, 38, 46, 41, 35, 47, 38, 38, 45, 38, 46, 45, 46, 33, 42, 46, 46, 39, 35, 47, 42, 40, 41, 37, 40]"
lB39dQ4kYnxOLBblN0f-kQ_0000,"[38, 35, 29, 27, 40, 23, 28, 39, 29, 41, 37, 37, 31, 25, 41, 38, 32, 38, 27, 29, 23, 37, 33, 34, 34, 37, 31, 36, 31, 41, 32, 28, 34, 34, 33, 39, 31, 41, 38, 32, 32, 32, 26, 24, 32, 27, 33, 33, 41, 33]"
3JvKSFEKyORhHISIiLUJBg_0000,"[14, 14, 18, 18, 20, 12, 15, 23, 18, 20, 17, 13, 15, 20, 18, 13, 21, 22, 29, 16, 14, 13, 15, 16, 14, 15, 12, 20, 16, 18, 21, 19, 13, 12, 19, 17, 17, 17, 19, 15, 26, 12, 20, 13, 20, 14, 29, 14, 21, 22]"
A65yI51apjnT5EUoEVgIWg_0000,"[5, 4, 5, 3, 5, 2, 3, 1, 4, 4, 8, 5, 4, 5, 4, 4, 4, 3, 3, 4, 3, 3, 3, 5, 5, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 4, 2, 4, 4, 3, 4, 4, 3, 4, 5, 3, 3, 9, 10, 6]"
etE2ZFvDjqFYf1ArZBrVdA_0000,"[35, 44, 43, 45, 29, 44, 43, 28, 46, 36, 40, 30, 42, 44, 45, 44, 46, 36, 39, 37, 37, 36, 39, 50, 31, 46, 35, 41, 43, 32, 46, 34, 39, 46, 35, 35, 46, 37, 35, 41, 45, 36, 37, 30, 42, 40, 38, 37, 35, 41]"
A1Dw6aFpIO7at0gqeBpcBw_0000,"[40, 47, 45, 46, 46, 41, 40, 31, 32, 39, 38, 39, 37, 46, 27, 45, 34, 44, 46, 44, 46, 41, 46, 32, 35, 40, 32, 45, 46, 46, 33, 46, 44, 36, 40, 42, 38, 33, 46, 30, 38, 42, 44, 40, 34, 33, 45, 38, 29, 36]"
NfTUWy7CNBmIl5AnK7O9fQ_0000,"[42, 32, 38, 34, 37, 35, 34, 43, 36, 47, 44, 46, 44, 31, 39, 35, 40, 45, 34, 32, 43, 33, 36, 44, 46, 36, 45, 44, 33, 38, 39, 45, 31, 41, 42, 40, 34, 47, 45, 33, 35, 43, 31, 44, 36, 35, 35, 46, 44, 43]"
FzgdoU0pRGkJh8pUEC-9Kg_0000,"[4, 29, 14, 15, 33, 14, 12, 6, 7, 6, 6, 9, 10, 11, 9, 12, 12, 23, 13, 14, 13, 6, 18, 6, 11, 12, 20, 12, 12, 9, 24, 18, 15, 13, 20, 6, 9, 6, 6, 10, 28, 8, 7, 9, 6, 9, 9, 8, 4, 5]"
W3OBCHQ7ywKwj2OXeq12rQ_0000,"[25, 19, 19, 21, 21, 17, 17, 27, 25, 42, 24, 22, 17, 26, 23, 18, 23, 16, 24, 24, 18, 19, 29, 28, 22, 16, 17, 37, 22, 15, 20, 15, 23, 25, 31, 30, 16, 30, 18, 16, 15, 26, 15, 19, 31, 21, 16, 18, 20, 26]"
